RA,FA,CE,PE,BP,distance
185,115,250,200,100,299.17
185,90,300,200,150,241.26
185,90,300,200,100,204.96
185,95,300,200,100,241.36
185,100,300,200,100,296.18
185,105,300,200,100,338.27
185,110,300,200,100,355.28
185,115,300,200,100,376.67
185,120,300,200,100,379.89
185,125,300,200,100,363.6
185,130,300,200,100,336
185,135,300,200,100,293.17
185,140,300,200,100,252.58
185,100,300,100,100,182.24
185,100,300,110,100,197.46
185,100,300,120,100,209
185,100,300,130,100,218.62
185,100,300,140,100,232.89
185,100,300,150,100,239.13
185,100,300,160,100,244.07
185,100,300,170,100,255.66
185,100,300,180,100,273.7
185,100,300,190,100,286.35
185,100,300,200,100,287.76
185,100,300,200,100,295.81
185,100,300,200,110,314.72
185,100,300,200,120,325.35
185,100,300,200,130,351.69
185,100,300,200,140,368.26
185,100,300,200,150,389.11
185,100,300,200,160,398.12
185,100,300,200,170,409.27
185,100,300,200,180,422.8
185,100,300,200,190,427.37
185,100,300,200,200,449.43
185,115,300,200,200,631.48
185,140,200,200,200,237.49
185,140,300,200,200,440.56
185,90,200,200,200,171.14
185,140,250,200,200,331.74
185,140,300,200,200,447.43
185,140,300,200,200,437.75
185,90,200,200,150,148.3
185,90,200,200,200,166.67
185,140,200,200,200,237.79
185,90,300,200,200,256.93
185,90,200,200,200,174.49
185,115,200,200,150,299.3
185,115,300,200,200,627.42
185,90,250,200,150,199.35
185,140,200,200,100,134.65
185,115,250,200,100,299.79
185,140,300,200,100,250.86
185,115,200,200,200,352.85
185,140,250,200,100,188.64
185,140,200,200,200,237.28
185,90,250,200,150,190.19
185,90,300,200,200,264.72
185,90,300,200,200,273.04
185,90,200,200,100,124.08
185,90,300,200,100,207.78
185,140,200,200,150,192.53
185,140,300,200,200,436.35
185,115,250,200,100,300.2
185,90,300,200,150,251.06
185,115,300,200,200,629.1
185,140,200,200,200,233.33
185,140,300,200,200,426.46
185,90,200,200,200,174.39
185,140,250,200,200,345.32
185,140,300,200,200,429.14
185,140,300,200,200,434.16
185,90,200,200,150,151.85
185,90,200,200,200,178.33
185,140,200,200,200,243.41
185,90,300,200,200,279.83
185,90,200,200,200,172.93
185,115,200,200,150,299.44
185,115,300,200,200,636.54
185,90,250,200,150,201.04
185,140,200,200,100,129.6
185,115,250,200,100,300.57
185,140,300,200,100,245.43
185,115,200,200,200,361.49
185,140,250,200,100,194.23
185,140,200,200,200,236.54
185,90,250,200,150,190.47
185,90,300,200,200,256.72
185,90,300,200,200,274.73
185,90,200,200,100,127.81
185,90,300,200,100,199.54
185,140,200,200,150,187.45
185,140,300,200,200,450.42
185,115,250,200,100,300.05
185,90,300,200,150,234.43
185,115,300,200,200,630.14
185,140,200,200,200,236.76
185,140,300,200,200,420.34
185,90,200,200,200,182.59
185,140,250,200,200,340.99
185,140,300,200,200,428.75
185,140,300,200,200,449.97
185,90,200,200,150,159.33
185,90,200,200,200,168.5
185,140,200,200,200,238.98
185,90,300,200,200,279.27
185,90,200,200,200,166.59
185,115,200,200,150,296.01
185,115,300,200,200,630.15
185,90,250,200,150,194.44
185,140,200,200,100,130.46
185,115,250,200,100,299.17
185,140,300,200,100,246.27
185,115,200,200,200,356.32
185,140,250,200,100,196.51
185,140,200,200,200,240.75
185,90,250,200,150,198.83
185,90,300,200,200,262.93
185,90,300,200,200,283.09
185,90,200,200,100,118.16
185,90,300,200,100,200.63
185,140,200,200,150,187.41
185,140,300,200,200,442.25
185,115,250,200,100,296.52
185,90,300,200,150,244.54
185,115,300,200,200,630.51
185,140,200,200,200,235.6
185,140,300,200,200,443.59
185,90,200,200,200,168.43
185,140,250,200,200,344.82
185,140,300,200,200,430.59
185,140,300,200,200,421.88
185,90,200,200,150,144.9
185,90,200,200,200,171.34
185,140,200,200,200,249.31
185,90,300,200,200,277.01
185,90,200,200,200,174.18
185,115,200,200,150,297.31
185,115,300,200,200,629.64
185,90,250,200,150,199.31
185,140,200,200,100,135.82
185,115,250,200,100,299.39
185,140,300,200,100,247.08
185,115,200,200,200,358.85
185,140,250,200,100,195.82
185,140,200,200,200,239.82
185,90,250,200,150,189.7
185,90,300,200,200,271.76
185,90,300,200,200,265.91
185,90,200,200,100,122.57
185,90,300,200,100,194.01
185,140,200,200,150,190.2
185,140,300,200,200,441.71
185,115,250,200,100,299.17
185,90,300,200,150,241.26
185,115,300,200,200,631.48
185,140,200,200,200,237.49
185,140,300,200,200,440.56
185,90,200,200,200,171.14
185,140,250,200,200,331.74
185,140,300,200,200,447.43
185,140,300,200,200,437.75
185,90,200,200,150,148.3
185,90,200,200,200,166.67
185,140,200,200,200,237.79
185,90,300,200,200,256.93
185,90,200,200,200,174.49
185,115,200,200,150,299.3
185,115,300,200,200,627.42
185,90,250,200,150,199.35
185,140,200,200,100,134.65
185,115,250,200,100,299.79
185,140,300,200,100,250.86
185,115,200,200,200,352.85
185,140,250,200,100,188.64
185,140,200,200,200,237.28
185,90,250,200,150,190.19
185,90,300,200,200,264.72
185,90,300,200,200,273.04
185,90,200,200,100,124.08
185,90,300,200,100,207.78
185,140,200,200,150,192.53
185,140,300,200,200,436.35
185,115,250,200,100,300.2
185,90,300,200,150,251.06
185,115,300,200,200,629.1
185,140,200,200,200,233.33
185,140,300,200,200,426.46
185,90,200,200,200,174.39
185,140,250,200,200,345.32
185,140,300,200,200,429.14
185,140,300,200,200,434.16
185,90,200,200,150,151.85
185,90,200,200,200,178.33
185,140,200,200,200,243.41
185,90,300,200,200,279.83
185,90,200,200,200,172.93
185,115,200,200,150,299.44
185,115,300,200,200,636.54
